country,AverageHeightBoysAge19,AverageHeightGirlsAge19,AverageHeightBoysAge15,AverageHeightGirlsAge15,AverageHeightBoysAge10,AverageHeightGirlsAge10,AverageHeightBoysAge5,AverageHeightGirlsAge5
India,166.5,155.18,159.01,152.39,132.57,132.85,107.07,107.19
China,175.66,163.46,171.23,162.44,141.87,143.4,113.41,114.91
Indonesia,166.26,154.36,160.52,153.02,132.3,133.46,107.83,107.55
Pakistan,167.33,154.77,161.13,152.45,133.97,133.03,108.11,105.45
Nigeria,171.55,158.14,160.12,154.2,133.01,132.85,109.79,107.59
Brazil,175.73,162.41,170.61,161.51,142.6,142.99,115.7,113.6
Bangladesh,165.08,152.38,161.44,152.49,133.7,135.51,106.69,108.55
Russia,176.65,164.52,168.09,161.81,140.1,139.38,115.1,111.99
Ethiopia,168.84,157.15,159.24,154.74,129.07,134.28,101.62,106.34
Mexico,170.29,157.9,166.38,157.27,138.77,139.53,110.66,110.32
Japan,172.06,158.5,168.8,158.08,139.06,139.68,109.84,109.28
Egypt,174.57,160.88,165.46,157.09,138.63,136.24,117.18,110.17
Philippines,165.23,154.14,159.57,152.76,131.22,133.77,106.13,106.38
DR Congo,168.6,156.3,160.72,153.49,131.51,132.83,104.5,104.64
Vietnam,168.89,158.43,162.01,156.01,134.98,136.26,110.47,110.45
Iran,175.62,161.18,167.15,159.18,137.57,137.54,110.69,109.27
Turkey,176.36,161.8,170.14,160.02,140.83,140.19,114.19,113.43
Germany,180.28,166.18,174.65,164.7,144.36,143.95,114.76,113.34
Thailand,171.61,159.42,167.33,159.19,137.86,139.97,110.66,111.59
United Kingdom,178.21,163.94,172.44,162.92,142.39,142.58,112.54,111.73
Tanzania,166.98,156.89,158.08,153.86,130.37,132.7,107,105.45
France,178.6,164.49,173.15,163.76,143,142.83,114.65,113.59
South Africa,169.63,158.58,161.02,155.64,133.74,135.52,107.68,108.78
Italy,174.42,161.81,170.68,160.37,142.93,142.24,117.32,115.45
Kenya,170.46,159.43,163.94,157.24,136.7,137.52,112.73,110.27
Myanmar,166.7,154.71,159.72,153.15,130.83,133.91,104.11,106.21
Colombia,171.85,157.96,166.06,157.75,137.43,138.72,110.94,109.75
South Korea,175.52,163.23,173.02,162.31,143.62,143.65,113.32,113
Sudan,172.07,160.36,162.92,156.08,133.42,135.47,106.37,107.13
Uganda,168.74,158.53,158.99,155.53,129.91,133.1,105,104.76
Spain,176.11,162.03,171.22,161.93,143.48,143.42,115.69,114.39
Algeria,175.04,162.35,166.34,160.36,137.29,140.46,110.52,112.61
Iraq,173.79,158.75,167.42,156.97,138.75,137.57,112.2,109.7
Argentina,174.75,161.22,170.69,160.64,143.3,142.15,114.2,111.87
Afghanistan,168.5,156.11,161.75,151.22,132.95,130.38,106.17,103.59
Yemen,164.42,154.76,155.14,149.52,128.02,127.45,102.93,102.3
Canada,178.75,164.73,173.95,164.24,143.57,143.54,113.13,112.86
Poland,180.69,165.78,173.89,163.57,142.88,142.46,112.51,111.41
Morocco,176.35,161.18,168.5,158.89,139.51,139.17,112.91,111.15
Angola,168.46,158.1,162.09,155.78,133.27,135.91,106.41,107.47
Ukraine,180.98,166.62,171.69,162.69,141.2,140.6,116.04,114.07
Uzbekistan,170.94,160.29,165.76,158.54,138.07,139.11,112.3,111.27
Malaysia,169.2,157.06,166,157.05,139.13,139.4,111.93,111.04
Mozambique,164.3,155.42,160.29,153.83,134.18,137.16,110.16,111.34
Ghana,170.3,158.86,161.61,156.88,131.47,136.92,103.85,108.59
Peru,166.75,154.39,162.34,153.81,135.88,135.59,110.44,108.35
Saudi Arabia,170.67,158.84,162.7,156.46,133.6,137.08,106.99,110.14
Madagascar,165.16,153.06,160.7,151.02,132.31,131.48,105.53,103.55
Ivory Coast,168.23,158.65,163.52,156.67,135.13,136.54,108.41,108.08
Nepal,164.36,152.39,159.67,152.1,131.4,133.4,104.92,105.59
Cameroon,172.13,160.41,162.52,157.99,132.4,137.63,104.79,109.22
Venezuela,173.53,160.04,167.48,158.12,139.02,138.4,112.47,110.3
Niger,170.26,159.81,160.26,156.33,130.37,135.69,103.05,107.19
Australia,178.77,164.67,174.07,164.09,144.36,143.72,115.76,113.92
North Korea,174.69,161.22,168.81,159.5,140.4,140.58,113.88,113.14
Mali,175.02,161.99,165.24,159,135.66,138.24,108.57,109.8
Burkina Faso,171.89,161.33,162.09,157.25,134.21,135.54,107.05,106.56
Taiwan,173.53,160.7,170.93,160.54,142.61,142.75,113.58,112.44
Sri Lanka,168.07,155.88,161.16,154.1,131.37,134.23,103.62,106.33
Malawi,165.68,156.14,160.15,153.93,131.32,133.77,104.3,105.51
Zambia,167.62,157.32,161.38,155.07,132.64,134.85,105.78,106.75
Kazakhstan,175.5,161.74,167.1,160.03,139.24,140.09,115.1,112.42
Chad,171.84,162.12,162.51,158.86,132.71,137.77,105.36,109.2
Chile,172.88,159.42,169.94,159.46,142.29,141.74,113.62,113.02
Romania,177.82,164.73,170.97,162.02,141.94,141.8,114.1,113.29
Somalia,171.22,159.86,163.3,156.71,133.89,136.34,106.8,108.06
Senegal,176.18,163.92,165.57,160.54,135.37,139.36,107.79,110.73
Guatemala,164.36,150.91,160.42,150.12,132.84,131.47,106.96,103.75
Netherlands,183.78,170.36,177.2,167.45,146.88,146.55,119.63,118.45
Ecuador,167.32,155.25,162.99,154.32,135.51,135.85,108.91,107.15
Cambodia,165.35,154.75,160.74,153.18,132.54,133.74,106.05,106.42
Zimbabwe,170.69,159.85,160.77,156.99,129.75,136.16,101.58,107.64
Guinea,170.7,158.75,163.28,156.18,134.09,135.6,107.03,106.77
Benin,168.44,158.4,162.72,155.39,133.93,135.16,107.2,106.87
Rwanda,166.02,156.72,154.64,153.53,123.81,132.92,96.06,105.08
Burundi,167.34,155.08,160.87,152.74,131.92,132.75,104.84,104.57
Bolivia,168.1,155.58,165.53,155.41,138.97,137.07,113.68,109.03
Tunisia,176.85,161.69,169.51,161.45,140.15,141.25,112.33,112.13
Haiti,172.23,160.57,169.08,158.45,141.8,138.91,116,111.1
Belgium,179.09,163.4,173.21,162.1,143.29,142.52,114.25,111.46
Jordan,174.84,159.46,166.25,157.51,137.81,137.93,113.28,110.52
Dominican Republic,174.65,161.21,169.94,160.29,142.37,141.32,116.43,113.5
United Arab Emirates,174.08,160.53,169.47,159.51,143.14,141.47,119.14,113.73
Cuba,173.56,160.13,169.55,160.41,141.25,141.67,114.73,113.45
Honduras,169.59,155.18,164.86,154.64,136.98,135.75,110.88,107.82
Czech Republic,181.19,167.96,174.76,165.88,144.67,144.61,117.86,116.05
Sweden,180.46,166.67,174.65,165.02,143.39,144.18,115.05,115.15
Tajikistan,168.43,158.12,162.74,155.74,134.95,135.81,109.26,107.68
Papua New Guinea,163.1,156.89,157.73,155.22,129.98,135.88,104.16,108.08
Portugal,174.37,161.23,169.29,159.8,141.18,141.54,114.12,113.14
Azerbaijan,174,161.37,167.01,158.67,138.42,138.94,112.19,110.98
Greece,179.26,165.81,173.7,163.88,145.41,144.54,117.23,115.35
Hungary,176.59,162.55,171.66,161.84,143.69,143.62,117.98,115.74
Togo,170.14,159.13,162.99,157.37,133.89,137,106.9,108.36
Israel,175.98,162.22,170.88,161.4,142.97,143.03,117.03,115.01
Austria,178.52,166.93,174.01,164.29,145.17,144.98,116.54,115.71
Belarus,178.69,166.93,173.11,163.47,144.94,143.34,118.97,115.41
Switzerland,178.73,164.33,172.06,161.96,142.15,142.85,113.03,113.13
Sierra Leone,166.43,157.34,158.44,154.42,129.33,134.56,102.4,106.45
Laos,162.78,153.1,159.43,152.8,131.95,134.2,105.91,106.63
Turkmenistan,174.37,162.83,165.58,158.63,137.22,137.87,112.45,110.57
Hong Kong,174.83,160.62,169.88,159.74,140.05,140.37,112.36,112.52
Libya,176.39,162.56,168.19,159.58,139.2,139.57,112.61,111.69
Kyrgyzstan,171.66,160.2,163.74,157.73,136.5,137.36,114.02,111.74
Paraguay,173.81,159.76,167.72,158.67,139.59,139.34,113.34,111.32
Nicaragua,169.91,155.62,165.2,154.75,137.22,135.66,110.92,107.65
Bulgaria,174.17,164.58,168.61,162.06,141.98,142.76,120.99,118.02
Serbia,180.74,168.29,174.38,166.82,144.93,146.07,118.98,117.6
El Salvador,170.67,156.39,165.64,154.78,137.82,135.72,111.84,107.95
Republic of the Congo,171.23,158.78,161.06,156.34,132.79,135.83,108.51,107.43
Denmark,181.89,169.47,175,166.66,144.76,145.55,117.44,118.06
Singapore,173.5,161.3,168.81,160.09,140.69,140.65,114.26,112.35
Lebanon,178.96,163.67,173.17,162.86,144.02,142.87,115.59,112.94
Finland,180.57,166.48,173.87,164.39,143.93,143.53,116.29,114.55
Liberia,165.48,156.54,156.85,154.37,127.45,134.32,100.42,106.22
Norway,180.48,166.45,175.46,165.79,145.34,144.87,116.67,115.29
Slovakia,181.02,167.12,175.43,165.55,144.59,144.89,117.04,116.43
Palestine,175.05,161.28,166.69,159.63,136.79,140.15,109.27,112.13
Central African Republic,169.01,159.65,161.81,156.24,132.57,135.62,105.44,107.08
Oman,171.7,158.44,163.69,155.94,136.11,136.6,111.29,109.51
Ireland,179.04,164.5,172.5,162.52,142.93,142.18,114.71,113.56
New Zealand,177.72,164.66,173.71,163.91,143.85,143.29,114.15,113.14
Mauritania,165.54,160.06,160.26,157.24,132.35,137.18,106.18,108.86
Costa Rica,174.04,160.36,170.04,159.47,142.24,140.26,116.09,112.15
Kuwait,174.96,160.1,169.19,159.15,140.1,140.07,112.19,111.21
Panama,170.19,158.19,166.26,156.9,138.7,138.47,112.51,109.98
Croatia,180.76,166.8,176.36,166.32,146.32,146.56,118.45,117.68
Georgia,175.98,163.24,167.24,159.44,138.69,139.27,114.26,112.77
Eritrea,170.6,157.58,164.5,156.16,134.98,136.21,107.43,107.63
Mongolia,170.67,159.89,164.52,158.73,135.29,138.77,108.33,111.18
Uruguay,174.32,161.56,169.26,160.72,140.3,141.25,114.12,113.9
Puerto Rico,179.48,163.06,173.21,163.42,144.89,145.78,118.4,117.08
Bosnia and Herzegovina,182.47,167.47,174.21,164.85,144.97,144.55,118.32,116.38
Qatar,173.27,160.72,167.5,159.55,139.21,140.38,112.84,112.31
Moldova,175.59,162.96,169.25,160.98,140.78,140.68,115.39,113.11
Namibia,169.75,160.26,160.63,157.49,131.76,136.43,105.47,107.85
Armenia,173.67,159.85,167.45,157.57,138.96,137.77,112.61,109.51
Lithuania,180.72,167.63,174.08,165.19,144.72,144.61,119.25,117.82
Jamaica,176.97,164.32,171.87,163.45,143.81,144.48,117.16,116.68
Albania,174.07,162.23,169.54,160.75,142.06,141.33,117.2,115.7
Gambia,168.36,161.73,162.3,159.55,133.52,139.28,106.72,110.67
Gabon,170.48,160.05,164.04,157.59,135.79,137.19,109.32,108.69
Botswana,173.16,162.06,164.92,158.97,135.88,138.26,109.03,109.82
Lesotho,167.92,156.72,159.56,154.74,129.43,134.78,101.67,106.35
Slovenia,180.98,167.2,175.92,166.3,145.11,145.38,118.54,118.05
Equatorial Guinea,168.18,158.05,162.03,155.76,133.51,136.07,106.8,107.72
Latvia,181.17,168.81,172.6,164.36,144.09,144.03,118.69,116.82
Bahrain,172.76,158.29,168.8,158.68,140.35,141.38,113.86,113.47
Trinidad and Tobago,176.03,163.38,171.9,162.47,143.04,143.09,115.51,114.54
Timor-Leste,160.13,152.71,154.15,150.11,125.94,131.02,99.62,103.98
Estonia,182.79,168.66,176.41,166.12,146.03,145.21,116.94,115.74
Cyprus,172.75,160.55,170.26,160.18,141.62,141.73,114.37,113.17
Mauritius,173.01,158.94,169.6,158.97,141.16,140.91,114.16,111.74
Djibouti,170.77,159.82,164.24,157.32,135.23,137.36,108.08,108.83
Fiji,173.98,164.28,168.49,161.72,141.29,142.82,116.28,114.8
Comoros,167.72,156.54,161.69,154.86,132.77,134.99,105.78,106.39
Guyana,172.15,159.57,168.02,159.42,140.74,140.35,115.07,112.29
Solomon Islands,163.07,156.79,159.48,154.16,131.86,134.06,105.48,105.7
Bhutan,167.05,155.15,162.62,153.85,134.29,134.51,107.73,106.72
Luxembourg,178.46,165.07,172.8,162.76,144.18,142.96,117.42,114.54
Montenegro,183.3,169.96,177.5,167.42,146.81,146.33,119.58,118.49
Suriname,174.51,162.26,170.6,159.66,142.84,140.33,116.59,112.35
Malta,174.38,162.95,167.82,159.92,139.38,139.95,114.83,113.31
Maldives,167.87,154.28,165.26,154.15,138.39,135.19,112.72,107.62
Cape Verde,176.29,163.1,165.4,159.08,135.33,138.37,107.87,109.92
Brunei,166.31,154.9,164.05,155.03,136.66,137.29,108.69,108.55
Belize,170.52,158.12,168.17,157.76,140.92,139.03,114.96,111.04
Bahamas,174.4,163.46,170.94,162.54,143.58,143.4,117.66,115.25
Iceland,182.1,168.91,174.8,165.61,145.59,145.06,118.49,116.48
Vanuatu,168.29,160.48,164.32,157.94,136.11,138.07,109.53,110.12
Barbados,177.03,165.66,172.88,164.28,145.22,144.9,119.11,116.58
French Polynesia,178.32,166.52,175.58,165.28,149.84,146.87,125.66,119.25
Sao Tome and Principe,170.37,159.81,161.77,157.58,132.83,137.56,106.23,109.18
Samoa,174.42,163.82,165.29,159.04,135.84,138.76,109.42,112.75
Saint Lucia,176.43,165.52,170.05,162.16,141.38,141.84,114.84,113.85
Kiribati,170.09,161.04,166.04,160.21,138.02,141,111.81,113.28
Seychelles,175.9,162.47,170.57,161.81,141.4,143.48,111.89,112.28
Grenada,178.7,165.99,171.28,162.64,142.53,142.43,115.86,114.39
